43568	38.6280	3927.8909	18965800	78.230658	100.0000
49156	80.2574	3212.1843	32225200	90.938693	100.0000
35034	25.7723	3605.2419	11614400	171.454845	100.0000
54272	15.6662	7839.0416	15351000	590.098521	100.0000
55518	26.8961	8498.6663	28572600	590.071587	100.0000
32820	66.0891	3105.8431	25657800	714.838404	100.0000
50722	68.7146	1352.6787	11618600	797.205128	100.0000
33154	57.9373	3462.9970	25079600	869.584087	100.0000
42836	59.7005	3202.9496	23902200	1009.334296	100.0000
45460	75.9961	1349.5212	12819800	1211.368348	100.0000
51666	72.4701	1176.4081	10656800	1354.328740	100.0000
38346	46.7148	3172.4111	18524800	1712.148393	100.0000
59374	49.2613	4268.8962	26286400	2.509008	100.0000
39050	52.8415	2118.6972	13994400	26.769251	100.0000
50556	72.9297	1620.0359	14768600	47.385328	100.0000
57110	54.7646	1725.4661	11811800	399.285682	100.0000
38114	44.3763	4691.1162	26021800	400.354142	100.0000
46022	77.9182	1589.9130	15485400	812.592540	100.0000
58858	25.5050	7264.5319	23160200	947.350499	100.0000
54870	45.4612	2374.9482	13496000	1373.251797	100.0000
59272	70.2379	1192.9062	10473400	1486.480901	100.0000
46446	73.7878	2521.7813	23259600	1546.571839	100.0000
42636	74.9567	2799.3776	26229000	1554.232187	100.0000
39824	85.5348	2535.9317	27113800	1587.125829	100.0000
35760	93.4115	969.5076	11320400	1657.805923	100.0000
43624	23.9801	3964.8232	11884600	1705.196655	100.0000
35382	73.1767	1869.8640	17103800	50.691238	100.0000
54096	12.5958	8376.0991	13188000	163.201328	100.0000
43096	77.7557	1947.0008	18923800	193.623508	100.0000
36482	52.3280	1858.8913	12159000	209.582491	100.0000
42972	88.8288	1465.6142	16273600	293.530396	100.0000
36154	33.9785	2929.3385	12441800	389.307337	100.0000
33278	57.1848	1525.7196	10906000	495.600249	100.0000
53146	63.9674	2840.1203	22709400	547.544388	100.0000
52766	54.3141	1662.0375	11284000	806.266377	100.0000
47798	60.8997	3089.4883	23518600	1189.901475	100.0000
37850	51.0688	2657.6246	16965200	1288.866203	100.0000
46768	62.4045	2315.0399	18058600	1325.320700	100.0000
36110	56.1711	3602.1926	25292400	1508.764384	100.0000
52036	74.1186	2196.9767	20354600	1627.126081	100.0000
55148	45.1279	4864.8970	27442800	11.152170	100.0000
33554	59.5135	2616.2515	19462800	422.644662	100.0000
35756	60.3331	2272.5572	17138800	450.939044	100.0000
39264	36.3512	2551.1136	11592000	688.067557	100.0000
46412	68.9426	1613.1674	13902000	727.646470	100.0000
35370	38.1016	6322.5827	30112600	751.347330	100.0000
