46	15	20012	0.159413099289
12	29	20015	0.228535175323
68	35	20016	0.286885976791
8	21	20017	0.311412096024
80	1	20019	0.335489988327
36	5	30006	0.33688211441
57	71	20035	0.577444076538
58	15	20065	1.13329911232
47	12	30009	1.15213894844
11	23	20069	1.24611711502
37	49	20072	1.2814180851
3	31	10012	1.69082903862
27	7	20119	2.22332215309
55	2	20128	2.49070811272
10	24	10016	2.81997609138
76	56	20150	2.85963606834
12	23	20187	3.67398905754
33	77	20220	4.48711895943
78	59	10022	4.83071494102
52	21	20236	5.00646495819
38	67	20251	5.34198307991
49	79	30022	5.3614449501
7	31	20257	5.4804019928
65	18	10033	5.90479207039
52	13	20292	6.19269704819
8	38	20325	6.76604413986
5	37	20328	6.8006131649
11	23	20332	6.95015406609
71	25	20349	7.26046895981
20	57	20386	8.04975199699
35	54	20411	8.47311306
42	61	30032	8.49370217323
62	48	30033	8.5026371479
35	11	20423	8.67585897446
49	40	20438	9.03093004227
80	43	20482	9.78929114342
52	21	20484	9.83210897446
34	9	20492	9.9659371376
9	38	10071	9.98685002327
60	12	30040	10.0056490898
1	53	20505	10.2861089706
73	29	20515	10.4992721081
44	24	20549	11.0894260406
78	29	10083	11.3280861378
1	31	20562	11.3559789658
7	73	20585	11.8026981354
49	63	20589	11.8677639961
16	78	20594	12.0291650295
47	68	10088	12.0471789837
60	32	30050	12.0533800125
31	8	20598	12.2322940826
69	29	20608	12.4233260155
35	59	20609	12.4778211117
48	19	20616	12.6816689968
1	70	20620	12.7892200947
55	1	20636	13.0951681137
74	22	20643	13.2584340572
61	4	10102	13.744797945
71	52	20686	14.1417169571
31	53	20690	14.20454216
39	7	20692	14.2359721661
33	13	20716	14.8921489716
48	75	20734	15.2303910255
38	20	20738	15.3019180298
66	50	20741	15.3660140038
14	80	20813	16.9128391743
78	49	20817	17.0782730579
49	12	20832	17.3437180519
40	79	20868	18.1734850407
30	52	20911	19.0872550011
52	26	20912	19.1221511364
2	64	20919	19.2374210358
77	8	20929	19.5266330242
28	80	20935	19.6360151768
74	58	30075	19.6507430077
20	43	20941	19.7853341103
77	58	20948	19.9486961365
3	50	10164	20.2297241688
45	3	20966	20.3228881359
49	65	20969	20.4071061611
17	71	30081	20.437016964
52	11	30082	20.4796760082
50	28	21006	21.030272007
